Question Asked,Answer Given,Top Match,Answer Taught,Category,Question Type,Date Received, Date Responded,Response Time,Processed By
How can I print clearance letter,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Top Match,What do I need to do upon payment of all my outstanding Warrant of Arrest?,Car Parks,No Feedback,10/7/2019 15:41,10/17/2019 11:31,10,Kan Yuan Jing
I wish renew my season ticket for oct 2019,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Car Parks,No Feedback,10/7/2019 15:11,10/17/2019 11:31,10,Kan Yuan Jing
GIRO form for parking,(SPT) How do I renew my Season Parking Ticket?,Top Match,(SPT) How do I renew my Season Parking Ticket?,Car Parks,No Feedback,10/7/2019 15:42,10/17/2019 11:31,10,Kan Yuan Jing
i cannot access to apply for season parking even though the address is listed,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/7/2019 16:06,10/17/2019 11:31,10,Kan Yuan Jing
how to check if I have been issued a parking offence notice,(ENF) Is there a quota set on the number of parking offence notices to be issued by each Patrolling Officer and how does URA ensure that parking offen,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,10/7/2019 19:15,10/17/2019 11:30,10,Kan Yuan Jing
How do I differentiate between URA car parks and HDB car parks,(STPC) How do I differentiate between URA car parks and HDB car parks?,Top Match,(STPC) How do I differentiate between URA car parks and HDB car parks?,Car Parks,No Feedback,10/7/2019 18:52,10/17/2019 11:29,10,Kan Yuan Jing
Dropbox for refund of Parking Coupons,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,No Feedback,10/8/2019 0:18,10/17/2019 11:29,9,Kan Yuan Jing
apply for season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/8/2019 8:55,10/17/2019 11:29,9,Kan Yuan Jing
there is a discrepancy parking timing charged on the under parkingsg which email can I send to,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,Car Parks-Other car park matters-Parking.sg,,No Feedback,10/8/2019 9:58,10/17/2019 11:29,9,Kan Yuan Jing
Why the Search Page for renew season parking ticket which has been paid cannot open,(SPT) How do I renew my Season Parking Ticket?,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/8/2019 10:01,10/17/2019 11:28,9,Kan Yuan Jing
the search and print season parking receipt cannot open why,Car Parks-Season Parking,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/8/2019 10:04,10/17/2019 11:28,9,Kan Yuan Jing
Hi just want to ask regarding my fine which i dont know for two months and just knew it today,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,10/8/2019 10:27,10/17/2019 11:27,9,Kan Yuan Jing
I need a print out of the application for use of parking lots Payment receipt UP1986429574,Car Parks-Use of Parking lot for non-parking purpose,Top Match,(UPL) Will your parking staff know that I have approval to use the parking lots?,Car Parks,No Feedback,10/8/2019 10:53,10/17/2019 11:27,9,Kan Yuan Jing
application approved and payment made just need to print out my application,Car Parks-VPC,,(UPL) Will your parking staff know that I have approval to use the parking lots?,Car Parks,No Feedback,10/8/2019 10:54,10/17/2019 11:27,9,Kan Yuan Jing
application approved for use of parking lots due to printer error did not print out the application number for parking use Payment made under receipt UP1986429574,Car Parks-Use of Parking lot for non-parking purpose,Top Match,(UPL) Will your parking staff know that I have approval to use the parking lots?,Car Parks,No Feedback,10/8/2019 11:05,10/17/2019 11:27,9,Kan Yuan Jing
how to print copy of the approved application,General info on change of use,Top Match,(UPL) Will your parking staff know that I have approval to use the parking lots?,Car Parks,No Feedback,10/8/2019 11:08,10/17/2019 11:27,9,Kan Yuan Jing
how to check carpark fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(Payment) How do I check my outstanding fines and if my fines are paid?,Car Parks,No Feedback,10/8/2019 13:51,10/17/2019 11:25,9,Kan Yuan Jing
I want to return my URAHDB parking coupons for refund Where can I go,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,No Feedback,10/8/2019 14:55,10/17/2019 11:24,9,Kan Yuan Jing
The coupons are valid Can they be exchange for cash,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Top Match,(PON) What should I do if I wish to return unused / wrongly torn coupons?,Car Parks,No Feedback,10/8/2019 14:56,10/17/2019 11:24,9,Kan Yuan Jing
How can I apply for handicap pass,Car Parks-Season Parking-Apply,Top Match,(HAN) How do I apply for the handicap parking label?,Car Parks,No Feedback,10/8/2019 15:19,10/17/2019 11:24,9,Kan Yuan Jing
I need to apply for a handicap pass how to go about it,Car Parks-Season Parking-Apply,Top Match,(HAN) How do I apply for the handicap parking label?,Car Parks,No Feedback,10/8/2019 15:28,10/17/2019 11:24,9,Kan Yuan Jing
what is the fine for reuse carpark coupon,(PON) Must I display a parking coupon or start a parking session if I am away for a short while?,Top Match,(Common Offences) What are the types of parking offences and composition amount?,Car Parks,No Feedback,10/8/2019 15:42,10/17/2019 11:23,9,Kan Yuan Jing
Transfer season parking,Car Parks-Season Parking,Top Match,Car Parks-Season Parking-Transfer,,No Feedback,10/8/2019 15:44,10/17/2019 11:23,9,Kan Yuan Jing
Hi may I apply for the season parking for L0124 I couldnt find it in the search bar,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/8/2019 21:36,10/17/2019 11:22,9,Kan Yuan Jing
How to apply season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,10/8/2019 21:56,10/17/2019 11:22,9,Kan Yuan Jing
how much to rent 4 parking lots,(UPL) How do I apply for the use of parking lots?,Top Match,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,10/9/2019 9:22,10/17/2019 11:22,8,Kan Yuan Jing
Where to park,(PON) Is it acceptable to park my car out of the parking boundaries?,,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,10/9/2019 15:06,10/17/2019 11:21,8,Kan Yuan Jing
how do i get my season parking receipt for claim,Car Parks-Season Parking,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/9/2019 17:39,10/17/2019 11:21,8,Kan Yuan Jing
over parking fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(Common Offences) What are the types of parking offences and composition amount?,Car Parks,No Feedback,10/9/2019 19:05,10/17/2019 11:20,8,Kan Yuan Jing
over parking fine amounts,(Payment) How do I make payment for my parking offence?,Top Match,(Common Offences) What are the types of parking offences and composition amount?,Car Parks,No Feedback,10/9/2019 19:05,10/17/2019 11:20,8,Kan Yuan Jing
how to print carpark receipt,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/9/2019 20:52,10/17/2019 11:20,8,Kan Yuan Jing
printing parking receipt,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/9/2019 23:12,10/17/2019 11:20,8,Kan Yuan Jing
how to get official receipt,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/9/2019 17:40,10/17/2019 11:20,8,Kan Yuan Jing
how do i temporary transfer of season parking,Can I use the Season Parking Ticket (SPT) for another vehicle temporarily? Clicked Temporary Transfer,Top Match,Can I use the Season Parking Ticket (SPT) for another vehicle temporarily? Clicked Temporary Transfer,,No Feedback,10/9/2019 18:25,10/17/2019 11:20,8,Kan Yuan Jing
May I know the charges for appling car park lots for renovation,(UPL) How do I apply for the use of parking lots?,Top Match,(UPL) How do I apply for the use of parking lots?,Car Parks,No Feedback,10/9/2019 19:35,10/17/2019 11:20,8,Kan Yuan Jing
How to appeal for parking fine,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/9/2019 21:32,10/17/2019 11:20,8,Kan Yuan Jing
SEAH IM ROAD OFF STREETEveryday7am to 10pm WDay,Car Parks-Season Parking-Apply,Top Match,(STPC) Where can I find information on URA car park locations and parking charges?,Car Parks,No Feedback,10/5/2019 10:51,10/17/2019 11:18,12,Kan Yuan Jing
today i have renewed my season parking,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/5/2019 15:21,10/17/2019 11:17,12,Kan Yuan Jing
xd9547a vehicle end of this month only season parking expires,(SPT) What should I do if I forget to renew my Season Parking Ticket (SPT)?,Top Match,(SPT) How can I print a receipt for the renewal of my Season Parking Ticket?,Car Parks,No Feedback,10/5/2019 15:22,10/17/2019 11:17,12,Kan Yuan Jing
Do I pay the fine first while waiting for the outcome of my appeal,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,10/5/2019 14:11,10/17/2019 11:17,12,Kan Yuan Jing
type of transfer,Car Parks-Season Parking-Transfer,,Car Parks-Season Parking-Transfer,,No Feedback,10/5/2019 16:36,10/17/2019 11:17,12,Kan Yuan Jing
What do documents do I need to submit to URA for approval,What are the development works that are exempted from planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/7/2019 11:56,10/17/2019 11:16,10,Oh Kie Hock
I mean to apply for Home Office use,Do I need to inform URA if I do not use my home as a Home Office?,Top Match,"If I do not conduct business activities within the premises and have no non-resident employees, do I",Development Control > Home Office Scheme & Small Business Guidelines,No Feedback,10/7/2019 11:57,10/17/2019 11:16,10,Oh Kie Hock
Im asking how do I apply for home office use for the landed house,General info on change of use,Top Match,"If I do not conduct business activities within the premises and have no non-resident employees, do I",Development Control > Home Office Scheme & Small Business Guidelines,No Feedback,10/7/2019 11:57,10/17/2019 11:16,10,Oh Kie Hock
1st storey rear extension of semidetached houses may be allowed to abut existing back lanes,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,10/7/2019 11:59,10/17/2019 11:16,10,Oh Kie Hock
can rear setback allowed to abut to boundary wall,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/7/2019 11:59,10/17/2019 11:16,10,Oh Kie Hock
Can the tenant apply himself for the Home office permit,General info on reporting infringements,Top Match,"If I do not conduct business activities within the premises and have no non-resident employees, do I",Development Control > Home Office Scheme & Small Business Guidelines,No Feedback,10/7/2019 12:06,10/17/2019 11:15,10,Oh Kie Hock
development charge map,General information on development charge rates,Top Match,General information on development charge rates,,No Feedback,10/7/2019 12:23,10/17/2019 11:15,10,Oh Kie Hock
Hi What is the maximum occupancy for private residence properties,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/7/2019 12:42,10/17/2019 11:14,10,Oh Kie Hock
Can allow family couple 5 kids to rent,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/7/2019 12:44,10/17/2019 11:14,10,Oh Kie Hock
maximum rental,General info on renting private residential property,,General info on renting private residential property,,No Feedback,10/7/2019 14:07,10/17/2019 11:14,10,Oh Kie Hock
what is the maximum rental period,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/7/2019 14:07,10/17/2019 11:14,10,Oh Kie Hock
how long does a waiver gets approved,How long does it take for URA to process a development application?,Top Match,How long does it take for URA to process a development application?,Development Control > General Information on Development Control,No Feedback,10/7/2019 14:15,10/17/2019 11:13,10,Oh Kie Hock
Could you tell me about whether Airbnb is legal in Singapore,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/7/2019 15:11,10/17/2019 10:54,10,Oh Kie Hock
how can I find the requirement for owing,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,10/7/2019 13:50,10/17/2019 9:52,10,Oh Kie Hock
Hi would like to ask regarding commercial unit Can stay in,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/7/2019 14:11,10/17/2019 9:51,10,Oh Kie Hock
Check if commercial unit can stay in,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/7/2019 14:19,10/17/2019 9:51,10,Oh Kie Hock
how to apply Outline Application for shiphouse,How do I apply for planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/7/2019 14:25,10/17/2019 9:51,10,Oh Kie Hock
Checking Allowable Use For Shophouses not working,General Info on URA SPACE map service,,General Info on URA SPACE map service,,No Feedback,10/7/2019 14:47,10/17/2019 9:51,10,Oh Kie Hock
PVC ONE YEAR CHARGES IS 600 IS THERE ANY ADMINSTRATION FEE FOR VPC APPLICATION,What are the processing fees for development applications?,Top Match,What are the processing fees for development applications?,Development Control > General Information on Development Control,No Feedback,10/7/2019 15:19,10/17/2019 9:50,10,Oh Kie Hock
FLOOR TO FLOOR HEIGHT FOR INDUSTRIAL BUILDINGS,General info on buying and renovating private residential properties,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/7/2019 15:36,10/17/2019 9:50,10,Oh Kie Hock
can i use my condo address as a registered company address,General Info on Home Business,Top Match,"If I do not conduct business activities within the premises and have no non-resident employees, do I",Development Control > Home Office Scheme & Small Business Guidelines,No Feedback,10/7/2019 15:49,10/17/2019 9:49,10,Oh Kie Hock
I ALREADY HAVE A VPC BUT MY LORRY IN UNDER REPAIR SO I NEED TO REGISTER MY TEMPORARY VEHICLES VPC,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,10/7/2019 16:07,10/17/2019 9:49,10,Oh Kie Hock
how read a strata title plan,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?",Top Match,Catch all,,No Feedback,10/7/2019 16:32,10/17/2019 9:48,10,Oh Kie Hock
requirements,How do I apply for planning permission?,,Catch all,,No Feedback,10/7/2019 16:51,10/17/2019 9:48,10,Oh Kie Hock
whats next after master plan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/7/2019 20:40,10/17/2019 9:48,10,Oh Kie Hock
Hello I would like to check if the abandoned old Kallang airport road under URA,General info on change of use,Top Match,Catch all,,No Feedback,10/7/2019 17:30,10/17/2019 9:47,10,Oh Kie Hock
how to check written waiver status,What is a Temporary Written Permission?,Top Match,How long does it take for URA to process a development application?,Development Control > General Information on Development Control,No Feedback,10/7/2019 21:42,10/17/2019 9:47,10,Oh Kie Hock
airbnb act,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/8/2019 11:13,10/17/2019 9:46,9,Oh Kie Hock
where the masterplan for 2019,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/8/2019 11:21,10/17/2019 9:46,9,Oh Kie Hock
masterplan,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/8/2019 11:39,10/17/2019 9:46,9,Oh Kie Hock
i want to enquire about the accpeted use of building,General info on change of use,Top Match,General info on change of use,,No Feedback,10/8/2019 13:08,10/17/2019 9:45,9,Oh Kie Hock
what is the definition of club house,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/8/2019 13:15,10/17/2019 9:45,9,Oh Kie Hock
Page not Found,General info for feedback on e-Service errors,Top Match,Catch all,,No Feedback,10/8/2019 14:06,10/17/2019 9:45,9,Oh Kie Hock
epacs,Where can I find the latest URA circulars?,Top Match,Catch all,,No Feedback,10/8/2019 14:48,10/17/2019 9:44,9,Oh Kie Hock
good afternoon I have been trying for the Written Waiver Request since this morning but when right after we input the project description and clink continue,General info for feedback on e-Service errors,,General info for feedback on e-Service errors,,No Feedback,10/8/2019 15:25,10/17/2019 9:44,9,Oh Kie Hock
Hi hereby to check if my sister family of 3 my family of 4 my mom and dad domestic helper can we rent a landed,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/7/2019 22:16,10/16/2019 17:49,9,Oh Kie Hock
How to check ownership of property,General info on change of use,Top Match,Catch all,,No Feedback,10/8/2019 9:14,10/16/2019 17:48,8,Oh Kie Hock
Can I rent out my room while I sleep in the living room,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/8/2019 9:46,10/16/2019 17:48,8,Oh Kie Hock
what is the cap for a one bedroom private apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/8/2019 9:48,10/16/2019 17:48,8,Oh Kie Hock
Partition room at condominium is it legal,General info on renting private residential property,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,10/8/2019 10:35,10/16/2019 17:48,8,Oh Kie Hock
I want to know the status of 63 Wishart Road property,General info on change of use,Top Match,Catch all,,No Feedback,10/8/2019 10:47,10/16/2019 17:47,8,Oh Kie Hock
leasing private estate,General info on renting private residential property,,Catch all,,No Feedback,10/8/2019 11:27,10/16/2019 17:47,8,Oh Kie Hock
airbnb,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/8/2019 11:27,10/16/2019 17:47,8,Oh Kie Hock
ura regulations for short term rental,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/8/2019 12:27,10/16/2019 17:47,8,Oh Kie Hock
what is the definition of club house,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/8/2019 12:41,10/16/2019 17:46,8,Oh Kie Hock
unable to open edaform,"General info on Additions and Alterations, and DC Forms",Top Match,General info for feedback on e-Service errors,,No Feedback,10/8/2019 13:00,10/16/2019 17:46,8,Oh Kie Hock
ANY CONTROL OF WIDTH OF BALCONY IN HOTEL DEVELOPMENT,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/8/2019 14:47,10/16/2019 17:46,8,Oh Kie Hock
How to go to master plan to check land use,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,10/8/2019 14:45,10/16/2019 17:45,8,Oh Kie Hock
How long does OPP last,How long does it take for URA to process a development application?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,10/8/2019 14:09,10/16/2019 17:45,8,Oh Kie Hock
outline planning permission,Catch all,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,10/8/2019 14:40,10/16/2019 17:45,8,Oh Kie Hock
outline application,How do I apply for planning permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,Incorrect,10/8/2019 14:41,10/16/2019 17:45,8,Oh Kie Hock
validity for outline application,How do I apply for planning permission?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,10/8/2019 14:41,10/16/2019 17:45,8,Oh Kie Hock
How long is OPP valid,How long is a Change of use approval valid for?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,10/8/2019 14:10,10/16/2019 17:44,8,Oh Kie Hock
can i extend outline planning approval,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,What is a Temporary Written Permission?,Development Control > General Information on Development Control,No Feedback,10/8/2019 14:45,10/16/2019 17:43,8,Oh Kie Hock
to check on developers licence,General info on change of use,Top Match,General Info on Housing Developer,,No Feedback,10/8/2019 16:02,10/16/2019 17:27,8,Oh Kie Hock
is white usage subject to development charge for business park,General information on development charge rates,Top Match,"Where can I find the development charge sector, maps and rates?","Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/8/2019 16:05,10/16/2019 17:27,8,Oh Kie Hock
Hi Jamie sisters consider as family but does sisters and their family consider 1 family,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/8/2019 15:50,10/16/2019 17:26,8,Oh Kie Hock
Question about min 6 pax in an apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/8/2019 15:51,10/16/2019 17:26,8,Oh Kie Hock
Maximum rental period,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/8/2019 15:52,10/16/2019 17:26,8,Oh Kie Hock
mAximum rental period,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/8/2019 15:53,10/16/2019 17:26,8,Oh Kie Hock
Any control of the balcony width for hotel development,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/8/2019 15:07,10/16/2019 17:26,8,Oh Kie Hock
business park usage white area is it subject to development charge,General information on development charge rates,Top Match,"Where can I find the development charge sector, maps and rates?","Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/8/2019 15:54,10/16/2019 17:26,8,Oh Kie Hock
the validity of the developers licence,General Info on Housing Developer,Top Match,General Info on Housing Developer,,No Feedback,10/8/2019 16:02,10/16/2019 17:25,8,Oh Kie Hock
BOARDING HOUSE,General info on change of use,Top Match,General info on change of use,,No Feedback,10/8/2019 16:07,10/16/2019 17:25,8,Oh Kie Hock
home scheme application,General Info on Home Business,Top Match,Catch all,,No Feedback,10/8/2019 18:11,10/16/2019 17:24,8,Oh Kie Hock
how to check which property can be used for religious activity,General info on change of use,Top Match,Catch all,,No Feedback,10/8/2019 16:35,10/16/2019 17:24,8,Oh Kie Hock
home office,General Info on Home Business,Top Match,General Info on Home Business,,No Feedback,10/8/2019 16:50,10/16/2019 17:23,8,Oh Kie Hock
hi how do I apply for Home office,Car Parks-Season Parking-Apply,Top Match,"If I do not conduct business activities within the premises and have no non-resident employees, do I",Development Control > Home Office Scheme & Small Business Guidelines,No Feedback,10/8/2019 16:49,10/16/2019 17:23,8,Oh Kie Hock
contact,General Information about URA,Top Match,General Information about URA,,No Feedback,10/8/2019 16:42,10/16/2019 17:23,8,Oh Kie Hock
is there anyone I can email,General Information about URA,Top Match,General Information about URA,,No Feedback,10/8/2019 16:45,10/16/2019 17:23,8,Oh Kie Hock
how to check tenat,General info on change of use,Top Match,Catch all,,No Feedback,10/8/2019 17:06,10/16/2019 17:22,8,Oh Kie Hock
how to check tenant,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/8/2019 17:06,10/16/2019 17:22,8,Oh Kie Hock
can i stay with my relatives in condo when they have 6 family members in the unit,Catch all,,Catch all,,No Feedback,10/8/2019 22:05,10/16/2019 17:22,8,Oh Kie Hock
Guideline for provision of cover for outdoor space,General info on Development Control guidelines and handbooks,Top Match,Catch all,,No Feedback,10/8/2019 18:09,10/16/2019 17:20,8,Oh Kie Hock
landscape replacent,General info on Development Control guidelines and handbooks,,General info on Development Control guidelines and handbooks,,No Feedback,10/8/2019 17:26,10/16/2019 17:20,8,Oh Kie Hock
landscape replacement,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/8/2019 17:26,10/16/2019 17:20,8,Oh Kie Hock
How do I get planning permission for pes cover beyond 2m,"What do I need to know when renovating a strata-titled residential property, such as my condominium unit?",Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/8/2019 18:11,10/16/2019 17:19,8,Oh Kie Hock
Do I need Written Permission to remove a staircase and slab over the opening in a commercial building,General info on change of use,Top Match,What are the development works that are exempted from planning permission?,Development Control > General Information on Development Control,No Feedback,10/8/2019 22:21,10/16/2019 17:18,8,Oh Kie Hock
Hoe to apply Baseline,General information on development charge rates,Top Match,"Where can I find the development charge sector, maps and rates?","Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/8/2019 18:11,10/16/2019 17:17,8,Oh Kie Hock
Permission for pes cover beyond 2m,What are the development works that are exempted from planning permission?,,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/8/2019 18:12,10/16/2019 17:15,8,Oh Kie Hock
GFA exemption,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/8/2019 19:05,10/16/2019 17:14,8,Oh Kie Hock
where can find the feedback,General information on property market,Top Match,General Information about URA,,No Feedback,10/8/2019 22:32,10/16/2019 17:12,8,Oh Kie Hock
How do I register y new tenants name in my tenated condo,General info on renting private residential property,Top Match,Catch all,,No Feedback,10/8/2019 23:35,10/16/2019 17:11,8,Oh Kie Hock
What approval is required to install coverings for my private enclosed area,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,"Development Control > Renovating Private Non-landed, Strata Titled Residential Properties",No Feedback,10/9/2019 7:52,10/16/2019 17:11,7,Oh Kie Hock
how to find plot number,General Information about URA,Top Match,Catch all,,No Feedback,10/9/2019 8:50,10/16/2019 17:08,7,Oh Kie Hock
CIRCULAR ON TOP CLEARANCE,Where can I find the latest URA circulars?,Top Match,Where can I find the latest URA circulars?,Development Control > General Information on Development Control,No Feedback,10/9/2019 9:35,10/16/2019 17:07,7,Oh Kie Hock
eda,"General info on Additions and Alterations, and DC Forms",Top Match,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/9/2019 11:00,10/16/2019 17:06,7,Oh Kie Hock
eda form,"General info on Additions and Alterations, and DC Forms",Top Match,Where are the Development Control (DC) forms?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/9/2019 11:00,10/16/2019 17:06,7,Oh Kie Hock
leasing a private propertty,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,10/9/2019 11:25,10/16/2019 17:06,7,Oh Kie Hock
uploading file,General info for feedback on e-Service errors,,General info for feedback on e-Service errors,,No Feedback,10/9/2019 11:35,10/16/2019 17:03,7,Oh Kie Hock
What format should my file be,General info on renting private residential property,,Catch all,,No Feedback,10/9/2019 11:35,10/16/2019 17:03,7,Oh Kie Hock
Can approved appic,General info on change of use,,Catch all,,No Feedback,10/9/2019 12:37,10/16/2019 17:02,7,Oh Kie Hock
Would like to report air bnb at my condo,General info on renting private residential property,Top Match,General info on reporting infringements,,No Feedback,10/9/2019 12:04,10/16/2019 17:02,7,Oh Kie Hock
what is the red dot means in the map,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,10/9/2019 12:26,10/16/2019 17:02,7,Oh Kie Hock
jamie what is the yellow dot means in the map,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,10/9/2019 12:27,10/16/2019 17:02,7,Oh Kie Hock
how to apply,Catch all,Top Match,Catch all,,No Feedback,10/9/2019 13:34,10/16/2019 17:02,7,Oh Kie Hock
world expo 2020,Catch all,,Catch all,,No Feedback,10/9/2019 13:48,10/16/2019 17:02,7,Oh Kie Hock
approved educational premise,General info on change of use,,Catch all,,No Feedback,10/9/2019 13:29,10/16/2019 17:01,7,Oh Kie Hock
i cant find your curriculars on website,Catch all,Top Match,Where can I find the latest URA circulars?,Development Control > General Information on Development Control,No Feedback,10/9/2019 14:23,10/16/2019 16:55,7,Oh Kie Hock
How is the allowable plot ratio for landed property determined,General info on buying and renovating private residential properties,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,10/9/2019 14:50,10/16/2019 16:54,7,Oh Kie Hock
outline planning permission for extension,How do I apply for planning permission?,Top Match,How do I apply for planning permission?,"Development Control > Request Plans, Documents and Other Planning Information",No Feedback,10/9/2019 15:02,10/16/2019 16:54,7,Oh Kie Hock
where are your circulars,Where can I find the latest URA circulars?,,Where can I find the latest URA circulars?,Development Control > General Information on Development Control,No Feedback,10/9/2019 14:23,10/16/2019 16:53,7,Oh Kie Hock
